2025-09-18 11:52:01,975 [INFO] ✅ Updated Chapter 130 in 100-000-levels-of-body-refining-all-the-dogs-i-raise-are-the-emperor.json (123/430 chapters, 1/1218 manga)
2025-09-18 11:52:02,084 [WARNING] Error fetching https://manhuaus.com/manga/100000-levels-of-body-refining-all-the-dogs-i-raise-are-the-emperor/chapter-34/ (attempt 1/3): HTTPSConnectionPool(host='manhuaus.com', port=443): Read timed out. (read timeout=15)
2025-09-18 11:52:02,269 [INFO] ✅ Updated Chapter 131 in 100-000-levels-of-body-refining-all-the-dogs-i-raise-are-the-emperor.json (124/430 chapters, 1/1218 manga)
2025-09-18 11:52:02,642 [INFO] ✅ Updated Chapter 132 in 100-000-levels-of-body-refining-all-the-dogs-i-raise-are-the-emperor.json (125/430 chapters, 1/1218 manga)
2025-09-18 11:52:02,700 [INFO] ✅ Updated Chapter 133 in 100-000-levels-of-body-refining-all-the-dogs-i-raise-are-the-emperor.json (126/430 chapters, 1/1218 manga)
2025-09-18 11:52:02,953 [INFO] ✅ Updated Chapter 134 in 100-000-levels-of-body-refining-all-the-dogs-i-raise-are-the-emperor.json (127/430 chapters, 1/1218 manga)
2025-09-18 11:52:03,097 [WARNING] Error fetching https://manhuaus.com/manga/100000-levels-of-body-refining-all-the-dogs-i-raise-are-the-emperor/chapter-42/ (attempt 1/3): HTTPSConnectionPool(host='manhuaus.com', port=443): Read timed out. (read timeout=15)
2025-09-18 11:52:03,332 [INFO] ✅ Updated Chapter 135 in 100-000-levels-of-body-refining-all-the-dogs-i-raise-are-the-emperor.json (128/430 chapters, 1/1218 manga)
2025-09-18 11:52:03,399 [INFO] ✅ Updated Chapter 136 in 100-000-levels-of-body-refining-all-the-dogs-i-raise-are-the-emperor.json (129/430 chapters, 1/1218 manga)
2025-09-18 11:52:03,668 [INFO] ✅ Updated Chapter 137 in 100-000-levels-of-body-refining-all-the-dogs-i-raise-are-the-emperor.json (130/430 chapters, 1/1218 manga)
2025-09-18 11:52:04,004 [WARNING] Error fetching https://manhuaus.com/manga/100000-levels-of-body-refining-all-the-dogs-i-raise-are-the-emperor/chapter-50/ (attempt 1/3): HTTPSConnectionPool(host='manhuaus.com', port=443): Read timed out. (read timeout=15)
2025-09-18 11:52:04,011 [INFO] ✅ Updated Chapter 138 in 100-000-levels-of-body-refining-all-the-dogs-i-raise-are-the-emperor.json (131/430 chapters, 1/1218 manga)
2025-09-18 11:52:04,086 [INFO] ✅ Updated Chapter 139 in 100-000-levels-of-body-refining-all-the-dogs-i-raise-are-the-emperor.json (132/430 chapters, 1/1218 manga)
2025-09-18 11:52:04,343 [INFO] ✅ Updated Chapter 140 in 100-000-levels-of-body-refining-all-the-dogs-i-raise-are-the-emperor.json (133/430 chapters, 1/1218 manga)
2025-09-18 11:52:04,730 [INFO] ✅ Updated Chapter 141 in 100-000-levels-of-body-refining-all-the-dogs-i-raise-are-the-emperor.json (134/430 chapters, 1/1218 manga)
2025-09-18 11:52:04,825 [INFO] ✅ Updated Chapter 142 in 100-000-levels-of-body-refining-all-the-dogs-i-raise-are-the-emperor.json (135/430 chapters, 1/1218 manga)
2025-09-18 11:52:04,888 [INFO] ✅ Updated chapter 34 in 100-000-levels-of-body-refining-all-the-dogs-i-raise-are-the-emperor.json (136/430 chapters, 1/1218 manga)
2025-09-18 11:52:05,008 [INFO] ✅ Updated Chapter 143 in 100-000-levels-of-body-refining-all-the-dogs-i-raise-are-the-emperor.json (137/430 chapters, 1/1218 manga)
2025-09-18 11:52:05,427 [INFO] ✅ Updated Chapter 144 in 100-000-levels-of-body-refining-all-the-dogs-i-raise-are-the-emperor.json (138/430 chapters, 1/1218 manga)
